coord,lon,lat,height,road_id,vegklasse,name,kommentar,is_real,is_generated,fiber_kabel,TK_kabel,uten_raate,tre_stolpe,staal_stolpe,LED,halogen,build_weight,build_weight4
[6.90186541e+05 7.78149854e+06 9.51528400e+00],20.00412144851198,70.07004677532787,9.515284,629923708_CC8C1E,0.3996,22.105,,1,0,0,0,1,0,1,0,1,0.12473778122927733,0.12568453435321952
[6.90214714e+05 7.78151117e+06 1.07555390e+01],20.004886431578694,70.0701389028911,10.755539,629923708_CC8C1E,0.3996,29.1,STROM TIL BAKKE,1,0,0,0,0,1,0,1,0,0.13920056917958396,0.14482936334523885
[6.88373385e+05 7.77941527e+06 6.43697700e+00],19.95219520002599,70.05276257567223,6.436977,568807608_C4FBD7,0.5993999999999999,30.1,,1,0,0,1,0,1,0,0,1,0.19718403583670036,0.22083597896165488
[6.88325724e+05 7.77941041e+06 5.34289800e+00],19.950937715731694,70.0527537786685,5.342898,568807608_C4FBD7,0.5993999999999999,30.2,,1,0,1,0,0,1,0,1,0,0.18909317767677888,0.21370914000430302
[6.88279648e+05 7.77939739e+06 5.07629300e+00],19.949704359943027,70.05267096489249,5.076293,568807608_C4FBD7,0.5993999999999999,30.3,,1,0,0,0,0,1,0,1,0,0.14540203387016568,0.17226092691002873
[6.88234659e+05 7.77937985e+06 5.35971500e+00],19.948489806112512,70.05254701947308,5.359715,568807608_C4FBD7,0.5993999999999999,30.4,,1,0,0,0,1,1,0,1,0,0.17213817067754453,0.21787641413541442
[6.88192717e+05 7.77935696e+06 4.95029400e+00],19.94734362157767,70.05237300670447,4.950294,568807608_C4FBD7,0.5993999999999999,30.5,,1,0,0,0,0,1,0,0,1,0.17528014928780536,0.22014564072887297
[6.88154200e+05 7.77932802e+06 4.55773800e+00],19.9462741858342,70.05214246147085,4.557738,568807608_C4FBD7,0.5993999999999999,30.6,,1,0,0,0,1,1,0,1,0,0.08232429141491654,0.1004470925010718
[6.88116320e+05 7.77929794e+06 4.92007900e+00],19.945219026640515,70.05190125600075,4.920079,568807608_C4FBD7,0.5993999999999999,30.7,,1,0,0,0,0,1,0,1,0,0.013642282030387568,0.015482402418633289
[6.88077376e+05 7.77926755e+06 6.46590200e+00],19.944135385873413,70.05165804555082,6.465902,568807608_C4FBD7,0.5993999999999999,30.8,,1,0,0,0,0,1,0,1,0,0.0,0.0
[6.88036405e+05 7.77924510e+06 1.05148240e+01],19.94301563762375,70.05148728089262,10.514824,568807608_C4FBD7,0.5993999999999999,30.9,14 GRADER,1,0,0,0,0,1,0,1,0,0.0,0.0
[6.87993611e+05 7.77923933e+06 1.26522510e+01],19.941883644751243,70.05146679034723,12.652251,568807608_C4FBD7,0.5993999999999999,30.10,,1,0,0,0,0,1,0,1,0,0.019889541353973427,0.02182553545319859
[6.87948449e+05 7.77924742e+06 9.65783000e+00],19.94071919497933,70.05157186169068,9.65783,568807608_C4FBD7,0.5993999999999999,30.11,,1,0,0,0,0,1,0,1,0,0.1001302753135286,0.1133062460693415
[6.87906686e+05 7.77926679e+06 6.77854900e+00],19.93966762920509,70.05177518456792,6.778549,568807608_C4FBD7,0.5993999999999999,30.12,,1,0,0,0,0,1,0,1,0,0.2687242754449933,0.3087788121238021
[6.87864984e+05 7.77928613e+06 6.85699100e+00],19.93861758462402,70.05197821730792,6.856991,568807608_C4FBD7,0.5993999999999999,30.13,,1,0,0,0,0,1,0,0,1,0.38239947878046543,0.4377351010286762
[6.87821144e+05 7.77929763e+06 7.17155500e+00],19.93749491615799,70.05211275365535,7.171555,568807608_C4FBD7,0.5993999999999999,30.14,KABEL TIL BAKKE,1,0,0,1,0,1,0,0,1,0.3542112317884871,0.39675939973517543
[6.87775542e+05 7.77929835e+06 6.47347400e+00],19.936303222617912,70.05215231153133,6.473474,568807608_C4FBD7,0.5993999999999999,30.15,,1,0,0,0,0,1,0,1,0,0.24621674824986226,0.27453143417193915
[6.87729627e+05 7.77929130e+06 7.36392100e+00],19.935086830945068,70.05212257330159,7.363921,568807608_C4FBD7,0.5993999999999999,30.16,,1,0,0,0,0,1,0,1,0,0.1449463047643276,0.17214287721250074
[6.87686151e+05 7.77928413e+06 6.41788000e+00],19.933934037302308,70.05209011328682,6.41788,568807608_C4FBD7,0.5993999999999999,30.17,,1,0,0,0,0,1,0,0,1,0.12011109930104526,0.15297822230525204
